"CenterLat","CenterLong","richness"
26.75,-14.25,394
26.75,-13.75,372
26.75,-13.25,363
26.75,33.75,331
26.75,34.25,331
26.75,34.75,1
26.75,35.25,1
26.75,35.75,240
26.75,36.25,289
27.25,-14.25,55
27.25,-13.75,253
27.25,-13.25,417
27.25,33.75,358
27.25,34.25,363
27.25,34.75,5
27.25,35.25,45
27.25,35.75,235
27.75,-14.25,55
27.75,-13.75,64
27.75,-13.25,413
27.75,-12.75,400
27.75,33.75,358
27.75,34.25,371
27.75,34.75,360
27.75,35.25,381
27.75,35.75,382
28.25,-14.25,480
28.25,-13.75,475
28.25,-13.25,288
28.25,-12.75,481
28.25,-12.25,469
28.25,-11.75,411
28.25,-11.25,238
28.25,33.25,188
28.25,33.75,332
28.25,34.25,275
28.25,34.75,309
28.25,35.25,305
28.75,-14.25,457
28.75,-13.75,475
28.75,-13.25,374
28.75,-12.75,375
28.75,-12.25,419
28.75,-11.75,429
28.75,-11.25,349
28.75,-10.75,321
28.75,32.75,13
28.75,33.25,334
28.75,34.75,247
29.25,-14.25,56
29.25,-13.75,460
29.25,-13.25,463
29.25,-12.75,56
29.25,-12.25,139
29.25,-11.75,220
29.25,-11.25,440
29.25,-10.75,337
29.25,-10.25,348
29.25,32.75,193
29.25,33.25,309
29.25,34.75,255
29.25,35.25,62
29.75,-14.25,56
29.75,-13.75,56
29.75,-13.25,91
29.75,-12.75,210
29.75,-12.25,65
29.75,-11.75,54
29.75,-11.25,54
29.75,-10.75,124
29.75,-10.25,436
29.75,-9.75,437
29.75,32.25,221
29.75,32.75,211
29.75,34.75,292
30.25,-14.25,53
30.25,-13.75,55
30.25,-13.25,62
30.25,-12.75,204
30.25,-12.25,61
30.25,-11.75,53
30.25,-11.25,53
30.25,-10.75,53
30.25,-10.25,62
30.25,-9.75,361
30.25,18.75,152
30.25,19.25,207
30.25,19.75,276
30.75,-14.25,53
30.75,-13.75,55
30.75,-13.25,90
30.75,-12.75,59
30.75,-12.25,54
30.75,-11.75,53
30.75,-11.25,53
30.75,-10.75,210
30.75,-10.25,300
30.75,-9.75,393
30.75,17.75,160
30.75,18.25,59
30.75,18.75,176
30.75,19.25,152
30.75,19.75,235
30.75,20.25,257
30.75,28.75,226
30.75,29.25,203
31.25,-14.25,54
31.25,-13.75,188
31.25,-13.25,54
31.25,-12.75,62
31.25,-12.25,54
31.25,-11.75,53
31.25,-11.25,53
31.25,-10.75,60
31.25,-10.25,327
31.25,-9.75,400
31.25,15.75,214
31.25,16.25,372
31.25,16.75,378
31.25,17.25,335
31.25,17.75,204
31.25,18.25,206
31.25,18.75,35
31.25,19.25,10
31.25,19.75,253
31.25,20.25,269
31.25,26.75,157
31.25,27.25,208
31.25,27.75,250
31.25,28.25,241
31.25,28.75,243
31.25,29.25,158
31.25,29.75,236
31.25,30.25,204
31.25,30.75,78
